CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
21,100056402202600001,202600001,2025-09-22,7037,6402,1,2,1,2,1,8005,2025-09-22 10:00:00,2025-09-22 16:00:00,2025-09-22 16:00:00,17.34128,76.820746,"A theft complaint was filed at the local market. The named suspect, Ramesh, aged about 34, is a resident of a nearby locality. No prior linkage established. Under enquiry."
22,100056402202600002,202600002,2026-01-01,7037,6402,1,2,1,2,1,8005,2026-01-01 15:00:00,2026-01-01 20:00:00,2026-01-01 20:00:00,17.347254,76.792368,"A theft complaint was filed at the local market. The named suspect, Ramesh, aged about 34, is a resident of a nearby locality. No prior linkage established. Under enquiry."
23,100046301202600001,202600001,2026-04-03,7030,6301,1,2,1,2,1,8004,2026-04-03 16:00:00,2026-04-03 18:00:00,2026-04-03 18:00:00,12.861142,74.818111,"A theft complaint was filed at the local market. The named suspect, Ramesh, aged about 34, is a resident of a nearby locality. No prior linkage established. Under enquiry."
24,100016001202600001,202600001,2026-05-01,7001,6001,1,2,1,2,1,8001,2026-05-01 17:00:00,2026-05-01 20:00:00,2026-05-01 20:00:00,12.979998,77.55116,"A theft complaint was filed at the local market. The named suspect, Ramesh, aged about 34, is a resident of a nearby locality. No prior linkage established. Under enquiry."
25,100016005202600002,202600002,2026-06-30,7010,6005,1,2,1,2,1,8001,2026-06-30 14:00:00,2026-06-30 15:00:00,2026-06-30 15:00:00,12.96758,77.60981,"A theft complaint was filed at the local market. The named suspect, Ramesh, aged about 34, is a resident of a nearby locality. No prior linkage established. Under enquiry."
26,100026103202600003,202600003,2026-06-25,7017,6103,1,2,1,1,1,8002,2026-06-25 01:00:00,2026-06-25 04:00:00,2026-06-25 04:00:00,12.328289,76.697216,"A house-breaking was reported. The suspect, Manjunath Gowda, aged about 41, is under enquiry. No phone or vehicle was recovered from the scene. Investigation continues."
27,100026104202600008,202600008,2026-04-28,7019,6104,1,2,1,2,1,8002,2026-04-28 17:00:00,2026-04-28 21:00:00,2026-04-28 21:00:00,12.268233,76.658553,"A theft case names Manjunatha Gowda, aged around 42, as the accused. No distinguishing evidence such as a mobile number or vehicle was found. Enquiry pending."
28,100016004202600001,202600001,2026-05-12,7007,6004,1,2,1,1,1,8001,2026-05-12 01:00:00,2026-05-12 04:00:00,2026-05-12 04:00:00,13.002832,77.616004,"A house-breaking was reported. The suspect, Suresh Kumar, aged about 35, is under enquiry. No phone or vehicle was recovered from the scene. Investigation continues."
29,100016005202600003,202600003,2026-03-25,7009,6005,1,2,1,2,1,8001,2026-03-25 12:00:00,2026-03-25 14:00:00,2026-03-25 14:00:00,13.002584,77.592533,"A theft case names Suresh Kumara, aged around 36, as the accused. No distinguishing evidence such as a mobile number or vehicle was found. Enquiry pending."
30,100036203202600002,202600002,2026-01-26,7027,6203,1,2,1,1,1,8003,2026-01-26 01:00:00,2026-01-26 04:00:00,2026-01-26 04:00:00,15.801301,74.495582,"A house-breaking was reported. The suspect, Ramesh Naik, aged about 29, is under enquiry. No phone or vehicle was recovered from the scene. Investigation continues."
31,100036203202600003,202600003,2026-06-17,7027,6203,1,2,1,2,1,8003,2026-06-17 10:00:00,2026-06-17 15:00:00,2026-06-17 15:00:00,15.840239,74.4695,"A theft case names Ramesh Naika, aged around 30, as the accused. No distinguishing evidence such as a mobile number or vehicle was found. Enquiry pending."
32,100046303202600002,202600002,2025-12-13,7033,6303,1,2,1,1,1,8004,2025-12-13 02:00:00,2025-12-13 05:00:00,2025-12-13 05:00:00,12.927637,74.873619,"A house-breaking was reported. The suspect, Prakash B, aged about 47, is under enquiry. No phone or vehicle was recovered from the scene. Investigation continues."
33,100046302202600001,202600001,2026-01-12,7031,6302,1,2,1,2,1,8004,2026-01-12 12:00:00,2026-01-12 14:00:00,2026-01-12 14:00:00,12.900555,74.852771,"A theft case names Prakash Bhat, aged around 48, as the accused. No distinguishing evidence such as a mobile number or vehicle was found. Enquiry pending."
34,100026103202600004,202600004,2026-03-28,7018,6103,1,2,1,1,1,8002,2026-03-28 03:00:00,2026-03-28 08:00:00,2026-03-28 08:00:00,12.345284,76.672981,"A house-breaking was reported. The suspect, Nagaraj R, aged about 52, is under enquiry. No phone or vehicle was recovered from the scene. Investigation continues."
35,100026105202600002,202600002,2026-06-09,7021,6105,1,2,1,2,1,8002,2026-06-09 17:00:00,2026-06-09 20:00:00,2026-06-09 20:00:00,12.251901,76.627368,"A theft case names Nagaraja R, aged around 53, as the accused. No distinguishing evidence such as a mobile number or vehicle was found. Enquiry pending."
36,300016004202600001,202600001,2026-04-05,7008,6004,2,2,2,4,1,8001,2026-04-05 07:00:00,2026-04-05 12:00:00,2026-04-05 12:00:00,12.991143,77.619591,The complainant reports being induced to transfer funds under false pretext. The amount was routed to the UPI handle kdmule2026@okicici. The suspect contacted the complainant from mobile +916237198414. Enquiry reveals the same handle was used in other reported offences. Investigation is ongoing.
37,300026101202600001,202600001,2026-04-14,7014,6101,2,2,2,4,1,8002,2026-04-14 11:00:00,2026-04-14 14:00:00,2026-04-14 14:00:00,12.252702,76.624726,The complainant reports being induced to transfer funds under false pretext. The amount was routed to the UPI handle kdmule2026@okicici. The suspect contacted the complainant from mobile +916237198414. Enquiry reveals the same handle was used in other reported offences. Investigation is ongoing.
38,300036202202600001,202600001,2026-04-23,7025,6202,2,2,2,4,1,8003,2026-04-23 11:00:00,2026-04-23 15:00:00,2026-04-23 15:00:00,15.846881,74.466984,The complainant reports being induced to transfer funds under false pretext. The amount was routed to the UPI handle kdmule2026@okicici. The suspect contacted the complainant from mobile +916237198414. Enquiry reveals the same handle was used in other reported offences. Investigation is ongoing.
39,300016004202600002,202600002,2026-05-02,7008,6004,2,2,2,4,1,8001,2026-05-02 12:00:00,2026-05-02 17:00:00,2026-05-02 17:00:00,12.938745,77.638189,The complainant reports being induced to transfer funds under false pretext. The amount was routed to the UPI handle kdmule2026@okicici. The suspect contacted the complainant from mobile +916237198414. Enquiry reveals the same handle was used in other reported offences. Investigation is ongoing.
40,100016006202600001,202600001,2026-02-19,7011,6006,1,1,1,3,4,8001,2026-02-19 16:00:00,2026-02-19 22:00:00,2026-02-19 22:00:00,12.95998,77.57068,A robbery was reported in the jurisdiction. Preliminary enquiry names Naveen Patil as a suspect. Investigation is ongoing.
41,100046302202600002,202600002,2026-01-17,7032,6302,1,2,1,1,1,8004,2026-01-17 23:00:00,2026-01-18 05:00:00,2026-01-18 05:00:00,12.906998,74.854375,A burglary / house-breaking was reported in the jurisdiction. Preliminary enquiry names ನಾಗರಾಜ್ as a suspect. A suspicious transfer to suspect@okaxis was noted. Investigation is ongoing.
42,100056402202600003,202600003,2026-02-19,7037,6402,1,1,1,2,1,8005,2026-02-19 16:00:00,2026-02-19 18:00:00,2026-02-19 18:00:00,17.287236,76.874014,A theft was reported in the jurisdiction. Preliminary enquiry names Anand Reddy as a suspect. A mobile number 607 089 9091 was linked to the suspect. Investigation is ongoing.
43,100046301202600002,202600002,2026-06-02,7029,6301,1,2,3,5,2,8004,2026-06-02 15:00:00,2026-06-02 21:00:00,2026-06-02 21:00:00,12.873127,74.833818,A cheating was reported in the jurisdiction. Preliminary enquiry names ಸುರೇಶ್ as a suspect. A mobile number 659 220 5510 was linked to the suspect. A two-wheeler bearing KA-04-MN-6724 was seen nearby. Investigation is ongoing.
44,100056401202600001,202600001,2026-06-09,7035,6401,1,2,1,1,4,8005,2026-06-09 04:00:00,2026-06-09 09:00:00,2026-06-09 09:00:00,17.315005,76.849544,A burglary / house-breaking was reported in the jurisdiction. Preliminary enquiry names Girish Reddy as a suspect. Investigation is ongoing.
45,100046302202600003,202600003,2026-05-28,7032,6302,1,2,1,2,3,8004,2026-05-28 19:00:00,2026-05-28 21:00:00,2026-05-28 21:00:00,12.942884,74.889942,A theft was reported in the jurisdiction. Preliminary enquiry names Anand Achar as a suspect. Investigation is ongoing.
46,100046302202600004,202600004,2025-10-05,7031,6302,1,2,1,2,1,8004,2025-10-05 14:00:00,2025-10-05 19:00:00,2025-10-05 19:00:00,12.952444,74.821465,A theft was reported in the jurisdiction. Preliminary enquiry names ಸುರೇಶ್ as a suspect. A mobile number +918028287727 was linked to the suspect. A suspicious transfer to suspect@oksbi was noted. Investigation is ongoing.
47,100046301202600003,202600003,2025-11-27,7030,6301,1,2,1,1,2,8004,2025-11-27 03:00:00,2025-11-27 05:00:00,2025-11-27 05:00:00,12.892199,74.82568,A burglary / house-breaking was reported in the jurisdiction. Preliminary enquiry names ಮಹೇಶ್ as a suspect. A mobile number 942 850 1993 was linked to the suspect. A suspicious transfer to suspect@paytm was noted. Investigation is ongoing.
48,100056401202600002,202600002,2026-04-17,7036,6401,1,2,1,2,3,8005,2026-04-17 09:00:00,2026-04-17 14:00:00,2026-04-17 14:00:00,17.329517,76.876134,A theft was reported in the jurisdiction. Preliminary enquiry names ಮಂಜುನಾಥ್ as a suspect. Investigation is ongoing.
49,100016005202600004,202600004,2026-02-20,7010,6005,1,2,3,5,2,8001,2026-02-20 04:00:00,2026-02-20 08:00:00,2026-02-20 08:00:00,12.972679,77.591644,A cheating was reported in the jurisdiction. Preliminary enquiry names ಮಂಜುನಾಥ್ as a suspect. A mobile number +919994224798 was linked to the suspect. Investigation is ongoing.
50,100046303202600003,202600003,2026-03-21,7033,6303,1,1,1,3,4,8004,2026-03-21 09:00:00,2026-03-21 10:00:00,2026-03-21 10:00:00,12.959222,74.82677,A robbery was reported in the jurisdiction. Preliminary enquiry names Prakash Patil as a suspect. A suspicious transfer to prakash@paytm was noted. Investigation is ongoing.
51,100026105202600003,202600003,2026-01-09,7021,6105,1,2,1,2,1,8002,2026-01-09 19:00:00,2026-01-09 20:00:00,2026-01-09 20:00:00,12.251831,76.636376,A theft was reported in the jurisdiction. Preliminary enquiry names Nagaraj Murthy as a suspect. Investigation is ongoing.
52,100036201202600001,202600001,2026-01-10,7024,6201,1,1,1,1,1,8003,2026-01-10 03:00:00,2026-01-10 05:00:00,2026-01-10 05:00:00,15.807415,74.525161,A burglary / house-breaking was reported in the jurisdiction. Preliminary enquiry names Harish Rao as a suspect. A mobile number +916089561441 was linked to the suspect. Investigation is ongoing.
53,100016005202600005,202600005,2025-12-11,7010,6005,1,1,1,1,2,8001,2025-12-11 05:00:00,2025-12-11 10:00:00,2025-12-11 10:00:00,12.965658,77.574524,A burglary / house-breaking was reported in the jurisdiction. Preliminary enquiry names Basavaraj Achar as a suspect. A mobile number 985 010 1903 was linked to the suspect. A two-wheeler bearing KA-01-MN-1581 was seen nearby. Investigation is ongoing.
54,100036201202600002,202600002,2026-05-07,7024,6201,1,2,3,5,1,8003,2026-05-07 05:00:00,2026-05-07 09:00:00,2026-05-07 09:00:00,15.819961,74.528468,A cheating was reported in the jurisdiction. Preliminary enquiry names Manjunath Reddy as a suspect. A mobile number +919962940706 was linked to the suspect. Investigation is ongoing.
55,100056401202600003,202600003,2025-09-25,7035,6401,1,2,1,2,1,8005,2025-09-25 13:00:00,2025-09-25 15:00:00,2025-09-25 15:00:00,17.299391,76.794842,A theft was reported in the jurisdiction. Preliminary enquiry names Kiran Bhat as a suspect. A mobile number +919802721229 was linked to the suspect. Investigation is ongoing.
56,100036203202600004,202600004,2025-10-23,7028,6203,1,2,1,1,2,8003,2025-10-23 05:00:00,2025-10-23 07:00:00,2025-10-23 07:00:00,15.873171,74.516128,A burglary / house-breaking was reported in the jurisdiction. Preliminary enquiry names Harish Kumar as a suspect. A two-wheeler bearing KA-03-CD-4572 was seen nearby. Investigation is ongoing.
57,100036203202600005,202600005,2025-12-22,7027,6203,1,2,1,2,3,8003,2025-12-22 13:00:00,2025-12-22 18:00:00,2025-12-22 18:00:00,15.825759,74.454412,A theft was reported in the jurisdiction. Preliminary enquiry names ನಾಗರಾಜ್ as a suspect. A mobile number 692 408 5281 was linked to the suspect. A suspicious transfer to suspect@paytm was noted. Investigation is ongoing.
58,100026104202600009,202600009,2025-11-13,7019,6104,1,2,3,5,1,8002,2025-11-13 10:00:00,2025-11-13 15:00:00,2025-11-13 15:00:00,12.260877,76.69971,A cheating was reported in the jurisdiction. Preliminary enquiry names Kiran Achar as a suspect. A mobile number +917830911730 was linked to the suspect. Investigation is ongoing.
59,100016005202600006,202600006,2025-11-19,7009,6005,1,1,1,3,3,8001,2025-11-19 10:00:00,2025-11-19 12:00:00,2025-11-19 12:00:00,12.950893,77.594473,A robbery was reported in the jurisdiction. Preliminary enquiry names ಮಂಜುನಾಥ್ as a suspect. A mobile number +916259974058 was linked to the suspect. A two-wheeler bearing KA-01-CD-6741 was seen nearby. Investigation is ongoing.
60,100026101202600005,202600005,2026-01-14,7014,6101,1,2,1,1,1,8002,2026-01-14 05:00:00,2026-01-14 10:00:00,2026-01-14 10:00:00,12.303636,76.617359,A burglary / house-breaking was reported in the jurisdiction. Preliminary enquiry names ಮಂಜುನಾಥ್ as a suspect. A mobile number 976 314 7282 was linked to the suspect. Investigation is ongoing.
61,100016006202600002,202600002,2026-06-16,7012,6006,1,1,3,5,1,8001,2026-06-16 12:00:00,2026-06-16 16:00:00,2026-06-16 16:00:00,12.962769,77.546166,A cheating was reported in the jurisdiction. Preliminary enquiry names ಮಂಜುನಾಥ್ as a suspect. A mobile number +919040527913 was linked to the suspect. A two-wheeler bearing KA-01-MN-8382 was seen nearby. Investigation is ongoing.
62,100026105202600004,202600004,2025-10-14,7022,6105,1,1,2,4,1,8002,2025-10-14 15:00:00,2025-10-14 21:00:00,2025-10-14 21:00:00,12.333959,76.681336,A hurt was reported in the jurisdiction. Preliminary enquiry names ರಮೇಶ್ as a suspect. Investigation is ongoing.
63,100036203202600006,202600006,2025-10-24,7028,6203,1,2,1,3,1,8003,2025-10-24 07:00:00,2025-10-24 12:00:00,2025-10-24 12:00:00,15.835576,74.510596,A robbery was reported in the jurisdiction. Preliminary enquiry names Anand Kumar as a suspect. A suspicious transfer to anand@okaxis was noted. Investigation is ongoing.
64,100016005202600007,202600007,2026-03-20,7009,6005,1,2,1,2,1,8001,2026-03-20 15:00:00,2026-03-20 16:00:00,2026-03-20 16:00:00,12.990457,77.576989,A theft was reported in the jurisdiction. Preliminary enquiry names Ravi Patil as a suspect. A mobile number 961 139 1481 was linked to the suspect. Investigation is ongoing.
65,100026102202600003,202600003,2026-05-12,7015,6102,1,1,1,3,1,8002,2026-05-12 07:00:00,2026-05-12 13:00:00,2026-05-12 13:00:00,12.312196,76.672326,A robbery was reported in the jurisdiction. Preliminary enquiry names Girish Shetty as a suspect. Investigation is ongoing.
66,100016001202600002,202600002,2026-04-26,7001,6001,1,2,2,4,1,8001,2026-04-26 04:00:00,2026-04-26 07:00:00,2026-04-26 07:00:00,13.009681,77.612264,A hurt was reported in the jurisdiction. Preliminary enquiry names Naveen Reddy as a suspect. A mobile number 746 874 2307 was linked to the suspect. Investigation is ongoing.
67,100036203202600007,202600007,2026-01-01,7028,6203,1,2,1,1,4,8003,2026-01-01 04:00:00,2026-01-01 10:00:00,2026-01-01 10:00:00,15.836695,74.524515,A burglary / house-breaking was reported in the jurisdiction. Preliminary enquiry names ನಾಗರಾಜ್ as a suspect. A two-wheeler bearing KA-03-XY-5802 was seen nearby. A suspicious transfer to suspect@oksbi was noted. Investigation is ongoing.
68,100056401202600004,202600004,2025-10-05,7036,6401,1,2,2,4,2,8005,2025-10-05 05:00:00,2025-10-05 07:00:00,2025-10-05 07:00:00,17.330188,76.812329,A hurt was reported in the jurisdiction. Preliminary enquiry names Suresh Rao as a suspect. Investigation is ongoing.
69,100016003202600001,202600001,2025-11-29,7005,6003,1,2,1,3,2,8001,2025-11-29 06:00:00,2025-11-29 08:00:00,2025-11-29 08:00:00,12.986182,77.636605,A robbery was reported in the jurisdiction. Preliminary enquiry names Mahesh Shetty as a suspect. Investigation is ongoing.
70,100026102202600004,202600004,2025-11-04,7016,6102,1,2,1,3,4,8002,2025-11-04 22:00:00,2025-11-05 01:00:00,2025-11-05 01:00:00,12.276834,76.612996,A robbery was reported in the jurisdiction. Preliminary enquiry names Santosh Patil as a suspect. A two-wheeler bearing KA-02-CD-2033 was seen nearby. Investigation is ongoing.
71,100056401202600005,202600005,2025-10-29,7035,6401,1,1,3,5,3,8005,2025-10-29 15:00:00,2025-10-29 16:00:00,2025-10-29 16:00:00,17.369972,76.846443,A cheating was reported in the jurisdiction. Preliminary enquiry names Kiran Reddy as a suspect. Investigation is ongoing.
72,100036203202600008,202600008,2025-10-24,7027,6203,1,1,1,1,1,8003,2025-10-24 02:00:00,2025-10-24 08:00:00,2025-10-24 08:00:00,15.822533,74.47731,A burglary / house-breaking was reported in the jurisdiction. Preliminary enquiry names Nagaraj Gowda as a suspect. A mobile number +917609913565 was linked to the suspect. Investigation is ongoing.
73,100026102202600005,202600005,2026-05-09,7016,6102,1,2,2,4,1,8002,2026-05-09 10:00:00,2026-05-09 12:00:00,2026-05-09 12:00:00,12.325765,76.688755,A hurt was reported in the jurisdiction. Preliminary enquiry names ಮಂಜುನಾಥ್ as a suspect. A mobile number 687 006 3336 was linked to the suspect. Investigation is ongoing.
74,100036203202600009,202600009,2025-09-22,7028,6203,1,1,1,1,1,8003,2025-09-22 00:00:00,2025-09-22 02:00:00,2025-09-22 02:00:00,15.809349,74.490342,A burglary / house-breaking was reported in the jurisdiction. Preliminary enquiry names Girish Hegde as a suspect. Investigation is ongoing.
75,100046303202600004,202600004,2025-10-15,7033,6303,1,2,1,2,2,8004,2025-10-15 18:00:00,2025-10-15 19:00:00,2025-10-15 19:00:00,12.863711,74.849237,A theft was reported in the jurisdiction. Preliminary enquiry names ಮಹೇಶ್ as a suspect. Investigation is ongoing.
76,100036203202600010,202600010,2026-01-28,7027,6203,1,1,1,2,4,8003,2026-01-28 19:00:00,2026-01-28 20:00:00,2026-01-28 20:00:00,15.863005,74.473266,A theft was reported in the jurisdiction. Preliminary enquiry names Anand Patil as a suspect. A mobile number +918267084334 was linked to the suspect. A two-wheeler bearing KA-03-XY-3315 was seen nearby. Investigation is ongoing.
77,100026102202600006,202600006,2026-05-22,7015,6102,1,2,1,2,2,8002,2026-05-22 11:00:00,2026-05-22 14:00:00,2026-05-22 14:00:00,12.266312,76.614066,A theft was reported in the jurisdiction. Preliminary enquiry names Umesh Patil as a suspect. A mobile number 882 528 5916 was linked to the suspect. Investigation is ongoing.
78,100046301202600004,202600004,2026-05-08,7029,6301,1,2,1,2,3,8004,2026-05-08 18:00:00,2026-05-08 22:00:00,2026-05-08 22:00:00,12.871748,74.889466,A theft was reported in the jurisdiction. Preliminary enquiry names ರಮೇಶ್ as a suspect. Investigation is ongoing.
79,100016006202600003,202600003,2026-06-28,7011,6006,1,2,1,3,2,8001,2026-06-28 15:00:00,2026-06-28 18:00:00,2026-06-28 18:00:00,12.97623,77.565848,A robbery was reported in the jurisdiction. Preliminary enquiry names Naveen Patil as a suspect. A two-wheeler bearing KA-01-XY-6953 was seen nearby. A suspicious transfer to naveen@oksbi was noted. Investigation is ongoing.
